Europe/London,Open,High,Low,Close,Volume
2025-01-01T23:00:00+00:00,19857.645,19883.101,19826.601,19848.601,17016
2025-01-02T00:00:00+00:00,19849.145,19855.601,19780.801,19846.112,43160
2025-01-02T01:00:00+00:00,19845.634,19900.134,19844.112,19893.123,39700
2025-01-02T02:00:00+00:00,19892.501,19912.634,19888.101,19899.623,25350
2025-01-02T03:00:00+00:00,19900.601,19903.112,19871.134,19874.601,21650
2025-01-02T04:00:00+00:00,19875.123,19886.123,19867.145,19883.101,22200
2025-01-02T05:00:00+00:00,19883.623,19929.123,19881.101,19927.112,30650
2025-01-02T06:00:00+00:00,19927.601,19947.623,19915.001,19920.145,41350
2025-01-02T07:00:00+00:00,19920.601,19969.501,19920.045,19937.934,153500
2025-01-02T08:00:00+00:00,19939.901,20023.945,19894.934,19938.923,526260
2025-01-02T09:00:00+00:00,19937.923,19959.434,19877.901,19912.423,428880
2025-01-02T10:00:00+00:00,19912.923,19916.923,19838.801,19857.934,338760
2025-01-02T11:00:00+00:00,19858.923,19906.923,19826.301,19904.912,279960
2025-01-02T12:00:00+00:00,19905.445,19939.401,19884.801,19912.445,270960
2025-01-02T13:00:00+00:00,19911.945,19967.545,19911.945,19943.512,243720
2025-01-02T14:00:00+00:00,19944.501,19987.545,19913.545,19970.523,532680
2025-01-02T15:00:00+00:00,19971.545,20001.534,19935.501,19989.534,687840
2025-01-02T16:00:00+00:00,19990.512,20041.623,19949.401,19988.645,609240
2025-01-02T17:00:00+00:00,19988.123,20014.501,19897.634,19943.134,699840
2025-01-02T18:00:00+00:00,19944.001,19944.001,19907.001,19929.145,595560
2025-01-02T19:00:00+00:00,19928.601,19954.134,19922.001,19928.001,448680
2025-01-02T20:00:00+00:00,19929.101,19969.112,19929.101,19964.545,476040
2025-01-02T21:00:00+00:00,19963.045,19974.745,19958.812,19970.401,24405
2025-01-02T23:00:00+00:00,19962.834,19965.334,19931.334,19942.801,13800
2025-01-03T00:00:00+00:00,19941.401,19995.745,19938.123,19992.234,21510
2025-01-03T01:00:00+00:00,19991.723,19999.212,19979.701,19993.701,29700
2025-01-03T02:00:00+00:00,19993.212,20008.234,19989.212,20000.723,29400
2025-01-03T03:00:00+00:00,20001.723,20011.745,19998.734,19999.245,26640
2025-01-03T04:00:00+00:00,19999.601,20001.745,19991.745,19993.245,15900
2025-01-03T05:00:00+00:00,19993.734,19994.234,19980.723,19991.745,20340
2025-01-03T06:00:00+00:00,19991.201,20000.245,19986.734,19990.223,29580
2025-01-03T07:00:00+00:00,19987.245,20014.123,19972.501,20005.001,145860
2025-01-03T08:00:00+00:00,20004.012,20035.545,19918.534,19926.001,488040
2025-01-03T09:00:00+00:00,19925.023,19980.545,19917.401,19969.012,324120
2025-01-03T10:00:00+00:00,19969.901,19971.023,19919.901,19928.512,237180
2025-01-03T11:00:00+00:00,19928.045,19967.523,19928.045,19954.023,191640
2025-01-03T12:00:00+00:00,19953.023,19963.523,19939.501,19956.901,188040
2025-01-03T13:00:00+00:00,19956.401,19971.023,19891.523,19909.045,232440
2025-01-03T14:00:00+00:00,19911.001,19951.034,19891.001,19926.034,400560
2025-01-03T15:00:00+00:00,19927.012,19931.401,19866.001,19905.023,615960
2025-01-03T16:00:00+00:00,19908.523,19930.145,19882.512,19903.645,422640
2025-01-03T17:00:00+00:00,19903.001,19916.101,19895.634,19906.501,281640
2025-01-03T18:00:00+00:00,19906.112,19921.123,19896.001,19904.634,213360
2025-01-03T19:00:00+00:00,19903.601,19919.612,19901.634,19908.123,222600
2025-01-03T20:00:00+00:00,19907.001,19915.534,19898.612,19915.023,227520
2025-01-03T21:00:00+00:00,19913.901,19913.901,19913.901,19913.901,120
2025-01-05T23:00:00+00:00,19911.401,19917.101,19889.323,19909.234,14280
2025-01-06T00:00:00+00:00,19910.923,19939.701,19901.112,19927.201,23550
2025-01-06T01:00:00+00:00,19926.734,19942.234,19918.212,19940.601,22560
2025-01-06T02:00:00+00:00,19940.201,19951.234,19931.212,19949.223,20520
2025-01-06T03:00:00+00:00,19949.734,19963.234,19948.212,19954.223,12420
2025-01-06T04:00:00+00:00,19953.601,19967.245,19945.234,19966.212,12900
2025-01-06T05:00:00+00:00,19967.212,19988.245,19967.212,19987.601,17220
2025-01-06T06:00:00+00:00,19988.212,20009.723,19987.701,19993.734,22860
2025-01-06T07:00:00+00:00,19990.723,20003.501,19941.601,19974.401,155880
2025-01-06T08:00:00+00:00,19981.034,20001.034,19920.045,19977.901,334320
2025-01-06T09:00:00+00:00,19980.901,20009.523,19974.501,19994.512,247560
2025-01-06T10:00:00+00:00,19993.512,19996.045,19951.034,19978.512,166560
2025-01-06T11:00:00+00:00,19979.023,20178.545,19952.401,20167.601,505680
2025-01-06T12:00:00+00:00,20165.745,20199.723,20152.712,20159.245,315480
2025-01-06T13:00:00+00:00,20158.701,20159.723,20089.601,20148.723,254160
2025-01-06T14:00:00+00:00,20147.712,20160.223,19994.601,20105.712,640920
2025-01-06T15:00:00+00:00,20105.212,20206.101,20092.234,20197.723,445920
2025-01-06T16:00:00+00:00,20198.734,20249.834,20175.601,20227.301,345720
2025-01-06T17:00:00+00:00,20226.312,20226.312,20189.812,20199.201,239520
2025-01-06T18:00:00+00:00,20198.812,20199.801,20156.201,20160.334,246720
2025-01-06T19:00:00+00:00,20160.701,20162.801,20122.312,20123.301,255480
2025-01-06T20:00:00+00:00,20122.323,20143.101,20112.345,20142.223,234480
2025-01-06T21:00:00+00:00,20142.223,20155.745,20139.601,20150.701,24045
2025-01-06T23:00:00+00:00,20152.101,20162.223,20142.201,20144.045,14295
2025-01-07T00:00:00+00:00,20143.001,20155.945,20134.923,20140.912,23370
2025-01-07T01:00:00+00:00,20140.445,20150.301,20129.945,20142.934,33360
2025-01-07T02:00:00+00:00,20142.434,20149.923,20119.901,20120.934,17580
2025-01-07T03:00:00+00:00,20120.412,20136.945,20110.423,20136.412,20220
