Europe/Lisbon,Open,High,Low,Close,Volume
2025-11-02T23:00:00+00:00,23986.477,24014.199,23984.966,24007.588,28650
2025-11-03T00:00:00+00:00,24007.999,24033.799,24006.655,24026.555,30180
2025-11-03T01:00:00+00:00,24026.088,24037.577,24016.077,24018.577,63420
2025-11-03T02:00:00+00:00,24019.066,24038.599,24012.566,24020.588,63060
2025-11-03T03:00:00+00:00,24020.066,24024.588,23988.088,24024.066,51180
2025-11-03T04:00:00+00:00,24023.588,24023.588,24008.577,24012.599,35700
2025-11-03T05:00:00+00:00,24012.199,24032.077,24010.066,24017.699,49920
2025-11-03T06:00:00+00:00,24018.077,24025.099,23992.055,24012.699,54960
2025-11-03T07:00:00+00:00,24009.599,24012.799,23970.166,23976.777,150300
2025-11-03T08:00:00+00:00,23978.255,24149.299,23962.777,24125.799,489480
2025-11-03T09:00:00+00:00,24124.766,24182.288,24115.766,24160.899,348960
2025-11-03T10:00:00+00:00,24161.777,24219.288,24143.399,24216.788,289320
2025-11-03T11:00:00+00:00,24216.266,24250.899,24207.899,24217.755,241080
2025-11-03T12:00:00+00:00,24216.899,24242.755,24182.255,24186.299,229920
2025-11-03T13:00:00+00:00,24185.299,24185.299,24113.788,24128.266,272160
2025-11-03T14:00:00+00:00,24130.277,24187.799,24117.255,24134.277,504000
2025-11-03T15:00:00+00:00,24136.288,24167.277,24108.755,24115.288,594360
2025-11-03T16:00:00+00:00,24115.799,24135.688,24103.255,24126.677,465240
2025-11-03T17:00:00+00:00,24127.299,24159.677,24117.677,24155.655,327120
2025-11-03T18:00:00+00:00,24156.299,24175.299,24151.666,24164.155,168360
2025-11-03T19:00:00+00:00,24166.677,24171.166,24149.699,24153.199,249240
2025-11-03T20:00:00+00:00,24155.799,24158.666,24124.277,24124.288,232320
2025-11-03T21:00:00+00:00,24123.788,24144.355,24121.388,24128.577,38385
2025-11-03T23:00:00+00:00,24122.899,24126.477,24104.955,24108.255,10695
2025-11-04T00:00:00+00:00,24108.099,24108.099,24030.255,24080.577,54405
2025-11-04T01:00:00+00:00,24082.066,24083.055,24054.055,24059.199,54240
2025-11-04T02:00:00+00:00,24058.577,24060.599,24030.588,24036.066,58020
2025-11-04T03:00:00+00:00,24036.577,24060.077,24034.066,24042.088,54420
2025-11-04T04:00:00+00:00,24043.088,24048.099,24016.577,24027.599,53940
2025-11-04T05:00:00+00:00,24028.088,24034.099,23938.066,23951.599,94140
2025-11-04T06:00:00+00:00,23955.066,23955.066,23868.066,23902.699,124980
2025-11-04T07:00:00+00:00,23901.588,23902.188,23800.655,23831.799,293940
2025-11-04T08:00:00+00:00,23831.255,23834.766,23710.399,23783.266,695520
2025-11-04T09:00:00+00:00,23785.277,23811.255,23673.255,23679.777,469920
2025-11-04T10:00:00+00:00,23680.255,23791.399,23670.766,23783.399,378120
2025-11-04T11:00:00+00:00,23782.766,23825.399,23775.788,23804.255,311280
2025-11-04T12:00:00+00:00,23805.266,23837.899,23765.788,23830.288,295080
2025-11-04T13:00:00+00:00,23829.255,23874.277,23820.299,23861.399,283440
2025-11-04T14:00:00+00:00,23860.255,23937.277,23830.299,23935.788,482880
2025-11-04T15:00:00+00:00,23937.299,23975.899,23908.755,23936.788,452400
2025-11-04T16:00:00+00:00,23936.299,23959.688,23907.766,23952.655,452160
2025-11-04T17:00:00+00:00,23952.199,23953.155,23900.655,23917.677,374880
2025-11-04T18:00:00+00:00,23916.677,23923.166,23885.166,23912.199,321360
2025-11-04T19:00:00+00:00,23911.699,23916.799,23872.699,23882.299,358920
2025-11-04T20:00:00+00:00,23883.199,23897.799,23866.655,23882.288,316680
2025-11-04T21:00:00+00:00,23881.788,23888.999,23874.588,23881.899,64395
2025-11-04T23:00:00+00:00,23886.255,23890.155,23858.755,23859.499,30315
2025-11-05T00:00:00+00:00,23858.199,23858.899,23730.055,23730.099,75825
2025-11-05T01:00:00+00:00,23730.588,23734.099,23579.077,23662.099,218400
2025-11-05T02:00:00+00:00,23663.555,23728.699,23654.699,23728.199,171300
2025-11-05T03:00:00+00:00,23731.555,23831.199,23729.088,23799.588,147540
2025-11-05T04:00:00+00:00,23798.699,23804.599,23772.099,23796.699,118920
2025-11-05T05:00:00+00:00,23797.066,23829.099,23785.566,23799.199,119100
2025-11-05T06:00:00+00:00,23798.555,23865.555,23771.599,23841.577,98820
2025-11-05T07:00:00+00:00,23840.588,23848.188,23782.688,23794.799,192420
2025-11-05T08:00:00+00:00,23800.299,23870.299,23745.255,23818.277,584160
2025-11-05T09:00:00+00:00,23819.288,23830.799,23751.255,23796.899,351000
2025-11-05T10:00:00+00:00,23795.788,23806.299,23751.399,23760.255,307560
2025-11-05T11:00:00+00:00,23759.899,23836.755,23728.288,23828.755,315240
2025-11-05T12:00:00+00:00,23831.255,23892.766,23825.766,23884.288,282720
2025-11-05T13:00:00+00:00,23883.277,23918.299,23859.277,23903.255,303480
2025-11-05T14:00:00+00:00,23903.799,23991.288,23874.788,23987.288,458400
2025-11-05T15:00:00+00:00,23995.799,24106.399,23976.277,24057.399,666240
2025-11-05T16:00:00+00:00,24057.777,24086.155,23998.399,24074.688,435960
2025-11-05T17:00:00+00:00,24074.188,24120.677,24071.655,24108.199,204360
2025-11-05T18:00:00+00:00,24108.688,24120.799,24101.188,24108.688,124320
2025-11-05T19:00:00+00:00,24108.199,24113.666,24096.177,24105.688,115560
2025-11-05T20:00:00+00:00,24106.299,24113.155,24080.255,24089.899,168720
2025-11-05T21:00:00+00:00,24089.255,24104.366,24078.455,24083.399,28080
2025-11-05T23:00:00+00:00,24102.999,24113.488,24079.777,24112.855,27090
2025-11-06T00:00:00+00:00,24113.499,24113.499,24038.566,24053.055,58725
2025-11-06T01:00:00+00:00,24054.199,24063.588,23999.555,24058.066,101340
2025-11-06T02:00:00+00:00,24057.599,24079.577,24042.566,24078.199,72240
2025-11-06T03:00:00+00:00,24077.555,24085.599,24057.099,24075.088,55920
2025-11-06T04:00:00+00:00,24074.088,24087.077,24060.066,24071.577,56040
2025-11-06T05:00:00+00:00,24073.055,24078.077,24042.588,24050.099,56100
2025-11-06T06:00:00+00:00,24049.555,24073.099,24036.088,24061.077,62100
2025-11-06T07:00:00+00:00,24063.099,24104.188,24034.799,24040.288,169260
2025-11-06T08:00:00+00:00,24039.288,24039.288,23928.766,23951.899,670320
2025-11-06T09:00:00+00:00,23953.255,24021.399,23945.288,23983.755,382080
2025-11-06T10:00:00+00:00,23984.299,24054.399,23973.255,24007.899,351240
2025-11-06T11:00:00+00:00,24007.255,24048.299,24001.899,24014.799,295920
2025-11-06T12:00:00+00:00,24020.277,24028.255,23964.899,24007.299,318480
2025-11-06T13:00:00+00:00,24006.788,24018.766,23967.777,23981.788,292800
2025-11-06T14:00:00+00:00,23982.899,23990.288,23814.766,23822.755,612480
2025-11-06T15:00:00+00:00,23823.755,23887.399,23726.799,23731.755,855480
2025-11-06T16:00:00+00:00,23732.799,23777.899,23683.677,23693.799,747120
2025-11-06T17:00:00+00:00,23693.166,23769.177,23693.166,23757.677,521400
2025-11-06T18:00:00+00:00,23756.177,23774.166,23707.677,23756.677,406800
2025-11-06T19:00:00+00:00,23756.166,23808.655,23752.177,23788.655,348600
2025-11-06T20:00:00+00:00,23789.655,23798.799,23728.766,23740.899,375840
2025-11-06T21:00:00+00:00,23737.766,23763.588,23737.188,23762.977,44595
2025-11-06T23:00:00+00:00,23758.355,23774.299,23743.077,23764.399,29100
2025-11-07T00:00:00+00:00,23764.088,23793.555,23742.255,23774.588,59655
2025-11-07T01:00:00+00:00,23775.099,23776.577,23707.055,23721.055,112020
2025-11-07T02:00:00+00:00,23722.099,23725.099,23681.577,23705.599,72840
2025-11-07T03:00:00+00:00,23708.088,23710.566,23670.077,23680.577,65040
2025-11-07T04:00:00+00:00,23680.077,23700.577,23650.588,23699.055,58080
2025-11-07T05:00:00+00:00,23698.566,23755.077,23696.555,23754.599,54420
2025-11-07T06:00:00+00:00,23754.099,23782.577,23747.099,23777.588,65400
2025-11-07T07:00:00+00:00,23774.077,23801.688,23756.155,23787.266,162600
2025-11-07T08:00:00+00:00,23787.755,23837.766,23726.899,23745.899,518280
2025-11-07T09:00:00+00:00,23747.266,23751.288,23634.755,23665.299,438960
2025-11-07T10:00:00+00:00,23663.399,23677.766,23579.288,23605.755,398040
2025-11-07T11:00:00+00:00,23606.799,23607.277,23471.277,23575.288,531600
2025-11-07T12:00:00+00:00,23573.255,23577.788,23490.277,23499.799,383520
2025-11-07T13:00:00+00:00,23498.755,23532.799,23483.799,23508.277,371160
2025-11-07T14:00:00+00:00,23509.255,23562.266,23451.299,23548.299,692520
2025-11-07T15:00:00+00:00,23552.755,23600.755,23518.277,23548.288,857880
2025-11-07T16:00:00+00:00,23549.277,23584.166,23530.266,23559.699,620160
2025-11-07T17:00:00+00:00,23560.177,23653.799,23544.166,23651.155,519240
2025-11-07T18:00:00+00:00,23651.655,23693.655,23650.799,23672.177,395520
2025-11-07T19:00:00+00:00,23671.699,23766.699,23667.155,23766.166,388200
2025-11-07T20:00:00+00:00,23764.155,23770.177,23727.677,23762.288,517320
2025-11-07T21:00:00+00:00,23762.788,23762.788,23762.288,23762.288,240
2025-11-09T23:00:00+00:00,23837.699,23844.266,23816.088,23832.266,35715
2025-11-10T00:00:00+00:00,23830.455,23860.199,23801.055,23849.566,61410
2025-11-10T01:00:00+00:00,23849.055,23885.088,23846.588,23878.588,44220
2025-11-10T02:00:00+00:00,23876.555,23896.199,23862.555,23862.588,24960
2025-11-10T03:00:00+00:00,23863.077,23884.699,23859.088,23867.588,25980
2025-11-10T04:00:00+00:00,23868.077,23882.588,23858.588,23874.077,30420
2025-11-10T05:00:00+00:00,23876.199,23915.566,23864.566,23877.066,37080
2025-11-10T06:00:00+00:00,23877.699,23898.699,23855.199,23864.199,50040
2025-11-10T07:00:00+00:00,23865.099,23938.299,23865.099,23925.899,189420
2025-11-10T08:00:00+00:00,23932.288,23958.266,23851.399,23931.266,547080
2025-11-10T09:00:00+00:00,23930.755,23999.399,23905.766,23996.799,378720
2025-11-10T10:00:00+00:00,23997.266,24004.899,23972.266,23987.277,274200
2025-11-10T11:00:00+00:00,23987.755,24024.399,23925.899,24020.399,206640
2025-11-10T12:00:00+00:00,24019.777,24023.399,23970.277,23970.277,251640
2025-11-10T13:00:00+00:00,23969.788,24006.399,23969.777,23991.777,224520
2025-11-10T14:00:00+00:00,23992.288,24010.899,23940.766,23958.255,432360
2025-11-10T15:00:00+00:00,23959.288,24009.299,23945.266,23961.288,484080
2025-11-10T16:00:00+00:00,23965.799,23996.255,23946.688,23984.188,532200
2025-11-10T17:00:00+00:00,23983.655,24051.666,23982.655,24034.199,297960
2025-11-10T18:00:00+00:00,24034.666,24042.177,24027.166,24028.177,165480
2025-11-10T19:00:00+00:00,24028.688,24070.188,24028.166,24062.699,124080
2025-11-10T20:00:00+00:00,24062.188,24079.199,24058.255,24068.266,208680
2025-11-10T21:00:00+00:00,24067.777,24092.888,24062.477,24091.088,13635
2025-11-10T23:00:00+00:00,24083.999,24093.199,24073.355,24091.966,24180
2025-11-11T00:00:00+00:00,24092.299,24106.699,24066.277,24072.099,57315
2025-11-11T01:00:00+00:00,24073.066,24095.588,24066.055,24095.588,73140
2025-11-11T02:00:00+00:00,24095.088,24095.199,24063.055,24080.088,33480
2025-11-11T03:00:00+00:00,24080.699,24088.077,24070.055,24082.599,26700
2025-11-11T04:00:00+00:00,24082.066,24082.066,24047.577,24053.699,34980
2025-11-11T05:00:00+00:00,24054.199,24061.066,24030.055,24030.599,53940
2025-11-11T06:00:00+00:00,24031.577,24076.077,24020.599,24032.077,45960
2025-11-11T07:00:00+00:00,24034.166,24053.655,23999.166,24003.899,175800
2025-11-11T08:00:00+00:00,24005.299,24038.266,23970.799,23993.755,555480
2025-11-11T09:00:00+00:00,23994.288,24057.266,23983.299,23999.777,378480
2025-11-11T10:00:00+00:00,23999.399,24000.788,23959.799,23989.255,307680
2025-11-11T11:00:00+00:00,23988.777,24016.766,23954.288,23959.255,248280
2025-11-11T12:00:00+00:00,23960.277,24000.899,23948.766,23993.788,269760
2025-11-11T13:00:00+00:00,23994.788,24025.299,23970.288,24003.399,286920
2025-11-11T14:00:00+00:00,24003.799,24072.288,23991.277,24068.299,383160
2025-11-11T15:00:00+00:00,24066.277,24092.299,24044.777,24055.288,496560
2025-11-11T16:00:00+00:00,24057.277,24124.199,24049.255,24100.799,419040
2025-11-11T17:00:00+00:00,24100.166,24116.299,24089.677,24109.666,275640
2025-11-11T18:00:00+00:00,24109.177,24162.699,24108.677,24159.188,234720
2025-11-11T19:00:00+00:00,24158.655,24178.188,24144.299,24165.799,194640
2025-11-11T20:00:00+00:00,24166.199,24194.677,24165.666,24175.399,194160
2025-11-11T21:00:00+00:00,24174.766,24186.899,24164.555,24186.777,12480
2025-11-11T23:00:00+00:00,24182.088,24193.299,24174.055,24181.855,19605
2025-11-12T00:00:00+00:00,24181.588,24205.566,24180.499,24193.588,28515
2025-11-12T01:00:00+00:00,24193.199,24223.077,24193.199,24221.555,30000
2025-11-12T02:00:00+00:00,24222.055,24251.199,24212.199,24216.088,23340
2025-11-12T03:00:00+00:00,24215.566,24216.099,24207.555,24211.577,14880
2025-11-12T04:00:00+00:00,24210.555,24211.699,24192.566,24206.099,15300
2025-11-12T05:00:00+00:00,24205.577,24219.066,24200.066,24214.088,15540
2025-11-12T06:00:00+00:00,24213.599,24223.577,24198.588,24198.588,22920
2025-11-12T07:00:00+00:00,24199.199,24287.677,24199.199,24250.255,166980
2025-11-12T08:00:00+00:00,24259.255,24367.777,24224.799,24324.766,534360
2025-11-12T09:00:00+00:00,24324.288,24393.399,24303.266,24367.755,421320
2025-11-12T10:00:00+00:00,24368.788,24395.299,24338.399,24370.399,310560
2025-11-12T11:00:00+00:00,24371.277,24391.299,24317.255,24338.399,326640
2025-11-12T12:00:00+00:00,24340.266,24427.399,24331.255,24411.399,260880
2025-11-12T13:00:00+00:00,24410.299,24416.299,24357.799,24358.277,270480
2025-11-12T14:00:00+00:00,24357.277,24428.299,24336.755,24426.255,426480
2025-11-12T15:00:00+00:00,24425.255,24443.788,24345.255,24357.288,534960
2025-11-12T16:00:00+00:00,24357.755,24397.666,24353.266,24375.666,558600
