Europe/London,Open,High,Low,Close,Volume
2026-02-01T23:00:00+00:00,24382.099,24475.855,24376.866,24462.355,61270
2026-02-02T00:00:00+00:00,24461.777,24501.077,24441.977,24473.699,49328
2026-02-02T01:00:00+00:00,24475.555,24494.066,24358.699,24372.055,71910
2026-02-02T02:00:00+00:00,24371.077,24393.199,24337.066,24346.599,72855
2026-02-02T03:00:00+00:00,24347.088,24370.099,24260.599,24288.599,57555
2026-02-02T04:00:00+00:00,24289.088,24320.588,24221.699,24308.077,49770
2026-02-02T05:00:00+00:00,24307.566,24320.699,24243.099,24273.066,43965
2026-02-02T06:00:00+00:00,24273.555,24303.577,24204.588,24285.599,60885
2026-02-02T07:00:00+00:00,24285.066,24350.188,24250.177,24348.288,316395
2026-02-02T08:00:00+00:00,24347.277,24557.788,24346.266,24538.755,620220
2026-02-02T09:00:00+00:00,24541.299,24602.777,24502.899,24578.399,454770
2026-02-02T10:00:00+00:00,24577.899,24628.277,24577.899,24609.755,356340
2026-02-02T11:00:00+00:00,24610.799,24700.277,24609.755,24690.777,292320
2026-02-02T12:00:00+00:00,24691.766,24761.299,24685.755,24726.799,329130
2026-02-02T13:00:00+00:00,24727.788,24755.899,24697.777,24749.899,392310
2026-02-02T14:00:00+00:00,24750.899,24776.899,24729.299,24743.766,557190
2026-02-02T15:00:00+00:00,24744.399,24852.266,24730.766,24795.288,625770
2026-02-02T16:00:00+00:00,24794.777,24822.899,24771.177,24786.155,470160
2026-02-02T17:00:00+00:00,24785.199,24822.188,24783.177,24812.799,232650
2026-02-02T18:00:00+00:00,24812.155,24823.155,24791.155,24813.188,163980
2026-02-02T19:00:00+00:00,24812.799,24833.199,24807.155,24809.177,139770
2026-02-02T20:00:00+00:00,24809.688,24852.299,24803.699,24835.899,261180
2026-02-02T21:00:00+00:00,24836.299,24852.366,24827.977,24845.666,19799
2026-02-02T23:00:00+00:00,24850.277,24895.199,24840.988,24878.999,24750
2026-02-03T00:00:00+00:00,24878.266,24881.399,24857.066,24875.099,31444
2026-02-03T01:00:00+00:00,24874.588,24897.199,24874.077,24896.577,33750
2026-02-03T02:00:00+00:00,24896.199,24896.199,24856.099,24877.088,22950
2026-02-03T03:00:00+00:00,24878.077,24890.077,24863.699,24889.088,13995
2026-02-03T04:00:00+00:00,24891.088,24942.099,24891.088,24927.055,19440
2026-02-03T05:00:00+00:00,24927.599,24928.099,24862.577,24883.599,32310
2026-02-03T06:00:00+00:00,24883.099,24916.699,24874.599,24912.077,26055
2026-02-03T07:00:00+00:00,24911.566,24972.677,24906.299,24947.299,178020
2026-02-03T08:00:00+00:00,24946.288,25099.899,24935.299,25070.255,603090
2026-02-03T09:00:00+00:00,25068.799,25088.777,24925.266,24942.299,431460
2026-02-03T10:00:00+00:00,24943.399,24968.266,24847.255,24847.799,383940
2026-02-03T11:00:00+00:00,24846.899,24884.899,24814.399,24880.288,400680
2026-02-03T12:00:00+00:00,24879.399,24916.288,24843.255,24856.255,327420
2026-02-03T13:00:00+00:00,24858.399,24875.299,24791.255,24804.288,375930
2026-02-03T14:00:00+00:00,24803.799,24813.399,24705.277,24710.277,686700
